epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,50.1852,0.98666,1.1269,1.14005,0.89726,0.82609,0.87931,0.5843,0.97877,1.69904,1.16838,0.000437322,0.000437322,0.000437322
71,50.7712,0.95128,1.26464,1.21818,0.89726,0.82609,0.87931,0.5843,0.97877,1.69904,1.16838,0.0004298,0.0004298,0.0004298
72,51.3822,1.0305,1.24537,1.23695,0.90872,0.86586,0.92954,0.65896,0.87471,1.5382,1.09511,0.000421882,0.000421882,0.000421882
73,51.9752,1.06202,1.23894,1.29373,0.90872,0.86586,0.92954,0.65896,0.87471,1.5382,1.09511,0.000413568,0.000413568,0.000413568
74,52.5822,0.99661,1.37703,1.26778,0.90872,0.86586,0.92954,0.65896,0.87471,1.5382,1.09511,0.000404858,0.000404858,0.000404858
75,53.2132,0.96208,1.15551,1.17123,0.88845,0.82609,0.92157,0.68095,0.91096,1.35344,1.14798,0.000395752,0.000395752,0.000395752
76,53.8042,0.96196,1.28653,1.15066,0.88845,0.82609,0.92157,0.68095,0.91096,1.35344,1.14798,0.00038625,0.00038625,0.00038625
77,54.4052,0.84224,1.18462,1.1686,0.88845,0.82609,0.92157,0.68095,0.91096,1.35344,1.14798,0.000376352,0.000376352,0.000376352
78,55.0302,0.98024,1.26268,1.19203,0.86514,0.91304,0.92958,0.68496,0.94387,1.3066,1.23692,0.000366058,0.000366058,0.000366058
79,55.6342,0.93343,1.24158,1.18234,0.86514,0.91304,0.92958,0.68496,0.94387,1.3066,1.23692,0.000355368,0.000355368,0.000355368
80,56.2382,0.9588,1.01228,1.09236,0.86514,0.91304,0.92958,0.68496,0.94387,1.3066,1.23692,0.000344282,0.000344282,0.000344282
81,56.8682,0.86713,1.01855,1.09504,0.86846,0.91304,0.93025,0.68789,0.92936,1.34428,1.26096,0.0003328,0.0003328,0.0003328
82,57.4762,1.11762,1.19752,1.2212,0.86846,0.91304,0.93025,0.68789,0.92936,1.34428,1.26096,0.000320922,0.000320922,0.000320922
83,58.1052,0.87168,1.06172,1.11498,0.86846,0.91304,0.93025,0.68789,0.92936,1.34428,1.26096,0.000308648,0.000308648,0.000308648
84,58.7312,0.9231,1.44273,1.19039,0.86816,0.91304,0.92879,0.69055,0.92551,1.32718,1.24363,0.000295978,0.000295978,0.000295978
85,59.3242,0.89595,1.04514,1.06639,0.86816,0.91304,0.92879,0.69055,0.92551,1.32718,1.24363,0.000282912,0.000282912,0.000282912
86,59.9122,0.98194,1.23534,1.17028,0.86816,0.91304,0.92879,0.69055,0.92551,1.32718,1.24363,0.00026945,0.00026945,0.00026945
87,60.5152,0.9614,1.20832,1.24148,0.86816,0.91304,0.92879,0.69055,0.92551,1.32718,1.24363,0.000255592,0.000255592,0.000255592
88,61.1362,0.88965,1.21665,1.188,0.86925,0.91304,0.92673,0.67895,0.88811,1.28417,1.17983,0.000241338,0.000241338,0.000241338
89,61.7182,0.92499,1.15236,1.12533,0.86925,0.91304,0.92673,0.67895,0.88811,1.28417,1.17983,0.000226688,0.000226688,0.000226688
90,62.3262,0.9647,1.06492,1.158,0.86925,0.91304,0.92673,0.67895,0.88811,1.28417,1.17983,0.000211642,0.000211642,0.000211642
91,70.6372,0.74285,1.43077,1.17675,0.86925,0.91304,0.92673,0.67895,0.88811,1.28417,1.17983,0.0001962,0.0001962,0.0001962
92,71.2822,0.79248,1.45198,1.13926,0.86906,0.91304,0.93296,0.69791,0.84371,1.26995,1.11171,0.000180362,0.000180362,0.000180362
93,71.9032,0.77417,1.41848,1.17399,0.86906,0.91304,0.93296,0.69791,0.84371,1.26995,1.11171,0.000164128,0.000164128,0.000164128
94,72.4922,0.82078,1.66684,1.36034,0.86906,0.91304,0.93296,0.69791,0.84371,1.26995,1.11171,0.000147498,0.000147498,0.000147498
95,73.1932,0.81641,1.55121,1.23706,0.86906,0.91304,0.93296,0.69791,0.84371,1.26995,1.11171,0.000130472,0.000130472,0.000130472
96,73.8832,0.89874,1.35596,1.20535,0.86931,0.91304,0.94113,0.70564,0.85478,1.22119,1.12667,0.00011305,0.00011305,0.00011305
97,75.5232,0.77277,1.50133,1.23345,0.86931,0.91304,0.94113,0.70564,0.85478,1.22119,1.12667,9.5232e-05,9.5232e-05,9.5232e-05
98,76.2592,0.88189,1.52186,1.41023,0.86931,0.91304,0.94113,0.70564,0.85478,1.22119,1.12667,7.7018e-05,7.7018e-05,7.7018e-05
99,77.0152,0.76803,1.32565,1.18337,0.86931,0.91304,0.94113,0.70564,0.85478,1.22119,1.12667,5.8408e-05,5.8408e-05,5.8408e-05
100,77.8282,0.89405,1.56665,1.28179,0.86936,0.91304,0.94456,0.71011,0.84734,1.19744,1.11933,3.9402e-05,3.9402e-05,3.9402e-05
